Plan Name,Advisor,Branch Location,Rep,Status,Implementation Contact,2024/2025 Work,Case Notes,"Conversion, TPA Change of Record or Startup, Solo",Assets,Flow,Participants,Verfied Assets/Parts,5 bps Y or N,First Billed Date,Admin Assigned,Installation Payment Date,Installation payment,Provider,Document,Projected Installation Payment,Ongoing 5 bps,Total 1 Yr RK,Annual Admin (Base Fee),Audit,New Comparability,Participant Fee,Additional bps built in,Participant Fee Total,Total 1st Yr TPA,2nd Year TPA,Hard Dollar w/o Rev Share
Griffin Construction LLC,Brian Heinke,IMA,Dean,,,2023,,Conversion,"$2,114,826 ",$0 ,28,SB 91,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,2450,,,$48 ,,"$1,344 ","$3,794 ","$3,794 ","$3,794 "
"Griffith Davison, P.C. ",Steve Heussner,TEXO - MEP - 3(16),3(16),,,,,Active,"$6,668,469 ",$0 ,40,,y,2024,Crissy,,n,Transamerica,$0 ,$0 ,"$3,334 ","$3,334 ",0,,,$55 ,,"$2,200 ","$3,867 ","$5,534 ","$2,200 "
Highland Builders ,Steve Heussner,TEXO - MEP - 3(16),3(16),,,,,Active,"$2,020,304 ",0,27,,y,2024,Crissy,,n,Transamerica,$0 ,$0 ,"$1,010 ","$1,010 ",0,,,$55 ,,"$1,485 ","$1,990 ","$2,495 ","$1,485 "
IT Partners,Dan Dillard,SW ERP,Joe,,,2024,3(16) Plan,Conversion,"$150,000 ",50000,31,Y,,2024,Kim,,n,Vestwell,"$1,300 ",$0 ,$0 ,"$1,300 ",5350,,,$60 ,,"$1,860 ","$8,510 ","$7,210 ","$7,210 "
"JMEG, LLC ",Steve Heussner,TEXO - MEP - 3(16),3(16),,,,,Active,"$28,849,931 ",$0 ,424,,y,2024,Crissy,,n,Transamerica,$0 ,$0 ,"$14,425 ","$14,425 ",0,,,$55 ,,"$23,320 ","$30,532 ","$37,745 ","$23,320 "
Johnson Law Group,Brian Heinke,IMA,Dean,,,2023,,Startup,1165039,0,28,SB 95,n,2023,Kim,,n,T Rowe Price,0,0,0,0,2450,,,25,,700,3150,3150,3150
JR. Mart dba Soelberg’s Market,Shawn Oram,AFS - MEP Plan,,Active,1200,15,0,0,88119,0,9,,n,2024,Crissy,,n,Transamerica,0,0,0,0,1200,,,15,,135,1335,1335,1335
"JRB Engineering, LLC ",Steve Heussner,TEXO - MEP - 3(16),3(16),,,,,Active,0,0,,,y,2024,Crissy,,n,Transamerica,0,0,0,0,0,,,,,0,0,0,0
Keeland and Company,Steve Heussner,TEXO - MEP - 3(16),3(16),,Kim,,y,0,"$92,792 ","$50,000 ",50,,y,2024,Crissy,,n,Transamerica,$0 ,$0 ,$46 ,$46 ,0,,,$55 ,,"$2,750 ","$2,773 ","$2,796 ","$2,750 "
Kindred Concepts US Inc,Brian Heinke,IMA,Dean,,,2023,,Conversion,"$11,000 ",$0 ,2,SB 11,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,2450,,,$48 ,,$96 ,"$2,546 ","$2,546 ","$2,546 "
"K-Market, Inc. dba Khoury's Marketplace",Shawn Oram,AFS - MEP Plan,,Terminating,1200,15,0,0,"$448,231 ",$0 ,16,,,2024,Crissy,,n,Transamerica,$0 ,$0 ,$0 ,$0 ,"$1,200 ",,,$15 ,,$240 ,"$1,440 ","$1,440 ","$1,440 "
KSC - TEXO,Steve Heussner,TEXO - MEP - 3(16),3(16),,Kim,2025,I think its moving,Q3 2025,0,50000,0,,y,2026,Crissy,,n,Transamerica,0,100,0,100,0,,,55,,0,100,0,0
"L&P Grocery, Inc.",Shawn Oram,AFS - MEP Plan,,Active,1200,15,0,0,23301,0,7,,,2024,Crissy,,n,Transamerica,0,0,0,0,1200,,,15,,105,1305,1305,1305
"Lasco Acoustics and Drywall, Inc. ",Steve Heussner,TEXO - MEP - 3(16),3(16),,,,,Active,9019796,0,114,,y,2024,Crissy,,n,Transamerica,0,0,4509.898,4509.898,,,,55,,6270,8524.949,10779.898,6270
"Lather, Inc.",Samantha Jenkins,IMA,3(16),,,2023,,Conversion,1518502,0,21,SB 192,n,2023,Kim,,n,T Rowe Price,0,0,0,0,2450,,,48,,1008,3458,3458,3458
"Legacy Contractors, LLC ",Steve Heussner,TEXO - MEP - 3(16),3(16),,,,,Active,62113,0,6,,y,2024,Crissy,,n,Transamerica,0,0,31.0565,31.0565,0,,,55,,330,345.52825,361.0565,330
"Mack's Market, Inc.",Shawn Oram,AFS - MEP Plan,,Active,1200,15,0,0,793005,0,7,,n,2024,Crissy,,n,Transamerica,0,0,0,0,1200,,,15,,105,1305,1305,1305
