Total Fees by Contract,,,,,,,,,
"Executive Retirement Plans, LLC TPA(508420) ",,,,,,,,,
10/1/2023 - 9/30/2025,,,,,,,,,
,,,,,,,,,
Contract ID,Sub ID,Company Name,Fee Type,Total,,,,,
932293,00004,"Griffith Davison, P.C.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"3,332.33",,,,,
,,,,,,,,,
932293,00005,"C. D. Henderson Construction Group, LLC",Transaction Fees,0.00,,,,,
932293,00005,"C. D. Henderson Construction Group, LLC",Service Fee Income,233.59,,,,,
932293,00005,"C. D. Henderson Construction Group, LLC",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,233.59,,,,,
,,,,,,,,,
932293,00007,"Southwest Construction Services, Inc.",Transaction Fees,"1,600.00",,,,,
932293,00007,"Southwest Construction Services, Inc.",Service Fee Income,0.00,,,,,
932293,00007,"Southwest Construction Services, Inc.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"1,600.00",,,,,
,,,,,,,,,
932293,00008,Rama Enterprises LLC,Transaction Fees,"2,993.48",,,,,
932293,00008,Rama Enterprises LLC,Service Fee Income,45.66,,,,,
932293,00008,Rama Enterprises LLC,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"3,039.14",,,,,
,,,,,,,,,
932293,00010,"Steele & Freeman, Inc.",Transaction Fees,"2,400.00",,,,,
932293,00010,"Steele & Freeman, Inc.",Service Fee Income,"1,223.79",,,,,
932293,00010,"Steele & Freeman, Inc.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"3,623.79",,,,,
,,,,,,,,,
932293,00012,"Lasco Acoustics and Drywall, Inc.",Transaction Fees,"6,055.03",,,,,
932293,00012,"Lasco Acoustics and Drywall, Inc.",Service Fee Income,"2,634.98",,,,,
932293,00012,"Lasco Acoustics and Drywall, Inc.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"8,690.01",,,,,
,,,,,,,,,
932293,00013,"Highland Builders, Inc.",Transaction Fees,"2,075.00",,,,,
932293,00013,"Highland Builders, Inc.",Service Fee Income,614.87,,,,,
932293,00013,"Highland Builders, Inc.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"2,689.87",,,,,
,,,,,,,,,
932293,00016,"Manning Concrete, Inc.",Transaction Fees,350.00,,,,,
932293,00016,"Manning Concrete, Inc.",Service Fee Income,347.14,,,,,
932293,00016,"Manning Concrete, Inc.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,697.14,,,,,
,,,,,,,,,
932293,00017,Pecos Construction LLC,Transaction Fees,600.00,,,,,
932293,00017,Pecos Construction LLC,Service Fee Income,358.75,,,,,
932293,00017,Pecos Construction LLC,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,958.75,,,,,
,,,,,,,,,
